1;15
2;15
3;15
4;14
5;14
6;14
7;14
8;14
9;13
10;13
11;13
12;13
13;13
14;13
15;13
16;13
17;12
18;12
19;12
20;12
21;12
22;12
23;12
24;12
25;12
26;12
27;12
28;11
29;11
30;11
31;11
32;11
33;11
34;11
35;11
36;11
37;11
38;10
39;9
40;9
41;9
42;8
43;8
44;8
45;8
46;8
47;8
48;8
49;7
50;7
51;7
52;7
53;7
54;7
55;7
56;7
57;7
58;6
59;6
60;6
61;6
62;5
63;5
64;5
65;5
66;5
67;5
68;5
69;5
70;5
71;4
72;4
73;4
74;4
75;3
76;3
77;3
78;3
79;3
80;3
81;2
82;2
83;2
84;2
85;2
86;2
87;2
88;2
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
0;0
0;0
0;0
0;0
